City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
47,Thompson,CA,55.7435,-97.8558,-7.44,54,0,8.05,clear sky
48,Marystown,CA,47.1666,-55.1483,44.85,100,68,8.99,broken clouds
49,Namatanai,PG,-3.6667,152.4333,77.79,83,100,2.82,moderate rain
50,Constitucion,CL,-35.3333,-72.4167,71.38,53,2,5.59,clear sky
51,Boueni,YT,-12.9025,45.0761,78.78,75,15,9.35,few clouds
52,Bengkulu,ID,-3.8004,102.2655,75.51,85,89,4.81,overcast clouds
53,Iqaluit,CA,63.7506,-68.5145,-22.27,57,40,0.0,scattered clouds
54,Bluff,NZ,-46.6,168.3333,51.8,70,100,12.95,overcast clouds
55,Botucatu,BR,-22.8858,-48.445,77.72,63,16,7.92,few clouds
56,Kodiak,US,57.79,-152.4072,35.64,82,94,8.68,overcast clouds
57,Bentiu,SS,9.2333,29.8333,81.09,24,8,4.05,clear sky
58,Barrow,US,71.2906,-156.7887,-27.22,100,97,7.47,overcast clouds
59,Sabha,LY,27.0377,14.4283,54.36,28,0,8.25,clear sky
60,Charleston,US,32.7766,-79.9309,70.21,50,40,4.61,scattered clouds
61,Jamestown,US,42.097,-79.2353,26.29,63,100,9.22,overcast clouds
62,Merauke,ID,-8.4667,140.3333,76.37,85,0,10.42,clear sky
63,Dalvik,IS,65.9702,-18.5286,24.73,90,95,7.56,overcast clouds
64,College,US,64.8569,-147.8028,-4.77,74,75,3.44,broken clouds
65,Flinders,AU,-34.5833,150.8552,64.2,93,79,4.0,broken clouds
66,Cherskiy,RU,68.75,161.3,-20.69,98,100,10.22,overcast clouds
67,Mitu,CO,1.1983,-70.1733,81.28,83,100,3.11,moderate rain
68,Busselton,AU,-33.65,115.3333,56.08,76,0,12.03,clear sky
69,Avera,US,33.194,-82.5271,71.38,34,100,5.95,overcast clouds
70,Nome,US,64.5011,-165.4064,-10.48,86,100,5.41,overcast clouds
71,Saint-Philippe,RE,-21.3585,55.7679,78.35,84,28,11.12,scattered clouds
72,Inuvik,CA,68.3499,-133.7218,-17.54,72,75,6.91,broken clouds
73,Castro,BR,-24.7911,-50.0119,77.47,57,44,5.03,scattered clouds
74,Nioro,GM,13.35,-15.75,82.9,10,3,7.43,clear sky
75,Bethel,US,41.3712,-73.414,56.98,48,99,1.99,overcast clouds
76,Trapani,IT,37.8333,12.6667,52.27,76,100,5.35,overcast clouds
77,Suez,EG,29.9737,32.5263,57.4,60,0,8.97,clear sky
78,Talara,PE,-4.5772,-81.2719,84.96,51,0,12.66,clear sky
79,Paamiut,GL,61.994,-49.6678,19.99,95,100,11.39,light snow
80,Aguimes,ES,27.9054,-15.4461,63.66,63,20,13.8,few clouds
81,Butaritari,KI,3.0707,172.7902,82.8,69,98,15.86,overcast clouds
82,Airai,TL,-8.9266,125.4092,58.69,92,76,2.3,broken clouds
83,Bredasdorp,ZA,-34.5322,20.0403,68.29,79,100,2.51,overcast clouds
84,Faya,SA,18.3851,42.4509,57.72,65,2,6.67,clear sky
85,Grindavik,IS,63.8424,-22.4338,25.27,63,0,11.5,clear sky
86,Oudtshoorn,ZA,-33.5907,22.2014,66.56,56,90,4.29,overcast clouds
87,Juruti,BR,-2.1522,-56.0922,82.31,74,89,3.8,overcast clouds
88,Asau,RO,46.4333,26.4,27.39,92,90,2.37,overcast clouds
89,Mataura,NZ,-46.1927,168.8643,51.48,91,96,3.42,overcast clouds
90,Vaini,TO,-21.2,-175.2,80.76,89,20,4.61,few clouds
91,Luan,CH,46.3592,6.9759,31.68,85,100,1.01,overcast clouds
92,Kodinsk,RU,58.6881,99.1844,-20.72,100,26,1.92,scattered clouds
93,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,20,9.22,few clouds
94,Skjervoy,NO,70.0311,20.9714,28.45,66,89,14.45,light snow
95,Hithadhoo,MV,-0.6,73.0833,81.25,69,100,10.98,overcast clouds
96,Tolmezzo,IT,46.4075,13.0175,39.76,69,0,5.68,clear sky
97,Lakhnau,IN,26.85,80.9167,53.58,87,0,0.0,mist
98,Malakal,SS,9.5334,31.6605,79.88,27,29,5.41,scattered clouds
99,Rayong,TH,12.8333,101.4333,81.72,99,31,1.52,scattered clouds
100,Ghotki,PK,28.006,69.3161,60.66,21,0,6.22,clear sky
101,Tepalcatepec,MX,19.1833,-102.85,85.3,29,57,5.55,broken clouds
102,Kaitangata,NZ,-46.2817,169.8464,50.94,80,100,9.8,overcast clouds
103,Namibe,AO,-15.1961,12.1522,75.79,82,91,7.31,overcast clouds
104,Karachi,PK,24.9056,67.0822,60.62,41,0,3.44,haze
